N,PDL,CALLE,COLONIA,LONGITUD,LATITUD,ID
6930,7360,GUADALUPE VICTORIA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241045,19.077282,URBANO
6931,7361,ANDADOR GUADALUPE VICTORIA C,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240891,19.076857,URBANO
6932,7364,RIVERA DEL ATOYAC,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240722,19.077908,URBANO
6933,7365,RIVERA DEL ATOYAC,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240948,19.07821,URBANO
6934,7366,RIVERA DEL ATOYAC,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241126,19.078537,URBANO
6935,7367,PATRIOTISMO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241463,19.0783,URBANO
6936,7368,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24233,19.077207,URBANO
6937,7369,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242386,19.076687,URBANO
6938,7370,DE LA LUZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242331,19.076444,URBANO
6939,7371,DE LA LUZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241735,19.076374,URBANO
6940,7372,DE LA LUZ,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241287,19.076314,URBANO
6941,7373,LOS PINOS,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240943,19.076158,URBANO
6942,7374,PRIVADA LOS PINOS,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240969,19.075869,URBANO
6943,7375,LOS PINOS,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240984,19.075611,URBANO
6944,7376,MOCTEZUMA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241026,19.075118,URBANO
6945,7377,MOCTEZUMA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241491,19.075094,URBANO
6946,7378,MOCTEZUMA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241985,19.075069,URBANO
6947,7379,MOCTEZUMA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242563,19.07506,URBANO
6948,7380,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242635,19.075023,URBANO
6949,7381,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242586,19.074748,URBANO
6950,7382,VICENTE GUERRERO,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.242653,19.074074,URBANO
6951,7383,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.24197,19.074229,URBANO
6952,7384,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241739,19.074231,URBANO
6953,7385,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241433,19.074237,URBANO
6954,7386,PRIVADA VISTA HERMOSA A,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.241114,19.074134,URBANO
6955,7387,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240989,19.074269,URBANO
6956,7388,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240622,19.074277,URBANO
6957,7389,MORELOS ORIENTE,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.239841,19.074317,URBANO
6958,7390,PRIVADA VISTA LINDA B,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240366,19.073863,URBANO
6959,7391,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.239961,19.073709,URBANO
6960,7392,VISTA HERMOSA,IGNACIO ROMERO VARGAS (CABECERA MUNICIPAL),-98.240508,19.073723,URBANO
